Participant,Block,Trial,Technique,Time,Error
1,1,1,0,1.717445342486E9,0
1,1,1,0,1.717445342487E9,0
1,1,1,0,1.717445342504E9,0
1,1,1,0,1.717445342509E9,0
1,1,1,0,1.717445342516E9,0
1,1,1,0,1.717445342524E9,0
1,1,1,0,1.717445342531E9,0
1,1,1,0,1.717445342537E9,0
1,1,1,0,1.717445342545E9,0
1,1,1,0,1.717445342553E9,0
1,1,1,0,1.71744534256E9,0
1,1,1,0,1.717445342566E9,0
1,1,1,0,1.717445342574E9,0
1,1,1,0,1.717445342581E9,0
1,1,1,0,1.717445342589E9,0
1,1,1,0,1.717445342596E9,0
1,1,1,0,1.717445342602E9,0
1,1,1,0,1.71744534261E9,0
1,1,1,0,1.71744534262E9,0
1,1,1,0,1.717445342624E9,0
1,1,1,0,1.717445342632E9,0
1,1,1,0,1.717445342647E9,0
1,1,1,0,1.717445342654E9,0
1,1,1,0,1.717445342661E9,0
1,1,1,0,1.717445342669E9,0
1,1,1,0,1.717445342676E9,0
1,1,1,0,1.717445342686E9,0
1,1,1,0,1.717445342691E9,0
1,1,1,0,1.717445342703E9,0
1,1,1,0,1.717445342706E9,0
1,1,1,0,1.717445342722E9,0
1,1,1,0,1.717445342722E9,0
1,1,1,0,1.717445342728E9,0
1,1,1,0,1.717445342735E9,0
1,1,1,0,1.717445342742E9,0
1,1,1,0,1.717445342753E9,0
1,1,1,0,1.717445342756E9,0
1,1,1,0,1.717445342771E9,0
1,1,1,0,1.717445342787E9,0
1,1,1,0,1.717445342804E9,0
1,1,1,0,1.717445342808E9,0
1,1,1,0,1.717445342819E9,0
1,1,1,0,1.717445342822E9,0
1,1,1,0,1.717445342836E9,0
1,1,1,0,1.717445342836E9,0
1,1,1,0,1.717445342853E9,0
1,1,1,0,1.717445342869E9,0
1,1,1,0,1.717445342872E9,0
1,1,1,0,1.717445342885E9,0
1,1,1,0,1.717445342902E9,0
1,1,1,0,1.717445342919E9,0
1,1,1,0,1.717445342937E9,0
1,1,1,0,1.717445342945E9,0
1,1,1,0,1.717445342952E9,0
1,1,1,0,1.717445342959E9,0
1,1,1,0,1.717445342966E9,0
1,1,1,0,1.717445342974E9,0
1,1,1,0,1.717445342981E9,0
1,1,1,0,1.717445342988E9,0
1,1,1,0,1.717445342995E9,0
1,1,1,0,1.717445343004E9,1
1,1,1,0,1.717445343009E9,1
1,1,1,0,1.717445343016E9,1
1,1,1,0,1.717445343024E9,1
1,1,1,0,1.717445343031E9,1
1,1,1,0,1.717445343037E9,1
1,1,1,0,1.717445343044E9,1
1,1,1,0,1.717445343052E9,1
1,1,1,0,1.717445343059E9,1
1,1,1,0,1.717445343067E9,1
1,1,1,0,1.717445343074E9,1
1,1,1,0,1.717445343081E9,1
1,1,1,0,1.717445343088E9,1
1,1,1,0,1.717445343096E9,1
1,1,1,0,1.717445343103E9,1
1,1,1,0,1.71744534311E9,1
1,1,1,0,1.717445343117E9,1
1,1,1,0,1.717445343124E9,1
1,1,1,0,1.717445343132E9,1
1,1,1,0,1.717445343139E9,1
1,1,1,0,1.717445343147E9,1
1,1,1,0,1.717445343155E9,0
1,1,1,0,1.717445343162E9,0
1,1,1,0,1.717445343169E9,0
1,1,1,0,1.717445343177E9,0
1,1,1,0,1.717445343184E9,1
1,1,1,0,1.717445343191E9,1
1,1,1,0,1.717445343198E9,1
1,1,1,0,1.717445343206E9,1
1,1,1,0,1.717445343213E9,1
1,1,1,0,1.71744534322E9,1
1,1,1,0,1.717445343227E9,1
1,1,1,0,1.717445343234E9,1
1,1,1,0,1.717445343242E9,1
1,1,1,0,1.71744534325E9,1
1,1,1,0,1.717445343257E9,1
1,1,1,0,1.717445343264E9,1
1,1,1,0,1.717445343272E9,1
1,1,1,0,1.717445343279E9,1
1,1,1,0,1.717445343286E9,1
1,1,1,0,1.717445343294E9,1
1,1,1,0,1.717445343309E9,1
1,1,1,0,1.717445343323E9,1
1,1,1,0,1.717445343352E9,1
1,1,1,0,1.717445343394E9,1
1,1,1,0,1.717445343401E9,1
1,1,1,0,1.717445343408E9,1
1,1,1,0,1.717445343416E9,1
1,1,1,0,1.717445343424E9,1
1,1,1,0,1.717445343432E9,1
1,1,1,0,1.717445343438E9,1
1,1,1,0,1.717445343445E9,1
1,1,1,0,1.717445343452E9,1
1,1,1,0,1.717445343461E9,1
1,1,1,0,1.717445343468E9,1
1,1,1,0,1.717445343475E9,1
1,1,1,0,1.717445343481E9,1
1,1,1,0,1.71744534349E9,1
1,1,1,0,1.717445343498E9,1
1,1,1,0,1.717445343505E9,1
1,1,1,0,1.717445343513E9,1
1,1,1,0,1.717445343519E9,1
1,1,1,0,1.717445343528E9,1
1,1,1,0,1.717445343535E9,1
1,1,1,0,1.717445343542E9,1
1,1,1,0,1.717445343549E9,1
1,1,1,0,1.717445343555E9,1
1,1,1,0,1.717445343563E9,1
1,1,1,0,1.71744534357E9,1
1,1,1,0,1.717445343576E9,1
1,1,1,0,1.717445343585E9,1
1,1,1,0,1.717445343592E9,1
1,1,1,0,1.717445343599E9,1
1,1,1,0,1.717445343607E9,1
1,1,1,0,1.717445343613E9,1
1,1,1,0,1.717445343621E9,1
1,1,1,0,1.717445343629E9,1
1,1,1,0,1.717445343636E9,1
1,1,1,0,1.717445343643E9,1
1,1,1,0,1.717445343651E9,1
1,1,1,0,1.717445343657E9,1
1,1,1,0,1.717445343665E9,1
1,1,1,0,1.717445343671E9,1
1,1,1,0,1.717445343679E9,1
1,1,1,0,1.717445343687E9,1
1,1,1,0,1.717445343694E9,1
1,1,1,0,1.717445343702E9,1
1,1,1,0,1.717445343709E9,1
1,1,1,0,1.717445343716E9,1
